code,naam,categorie
NJ03,Markengouw-Zuid,9
NJ04,Werengouw-Noord,4
NJ05,Werengouw-Midden,9
NJ06,Werengouw-Zuid,9
NK01,Bloemenbuurt-Noord,9
NK02,Bloemenbuurt-Zuid,2
NK03,Van der Pekbuurt,9
NL01,Vogelbuurt-Noord,3
NL02,Vliegenbos,3
NL03,Vogelbuurt-Zuid,3
NL04,IJplein e.o.,9
NM01,Blauwe Zand,3
NN01,Tuindorp Nieuwendam-West,5
NN02,Tuindorp Nieuwendam-Oost,5
NP01,Hamerstraatkwartier-West,1
NP02,Hamerstraatkwartier-Oost,4
NP03,Bedrijventerrein Nieuwendammerdijk,9
NQ01,Noorderstrook-West,1
NQ02,Noorderstrook-Oost,1
NQ03,Zunderdorp,1
NQ04,Schellingwoude-West,5
NQ05,Schellingwoude-Oost,2
NQ06,Schellingwoude-Noord,1
NQ07,Zwarte Gouw,3
NQ08,Holysloot,1
NQ09,Ransdorp,4
NQ10,Durgerdam,3
SA01,Landelijk gebied Driemond,4
SA02,Dorp Driemond,9
BB03,Minervahaven-Noordoost,2
SB01,Weespersluis-Noord,3
SB02,Waterrijk,5
SB03,Lanenrijk,9
SB04,Vechtrijk,5
SB05,Leeuwenveld,9
SB06,Bedrijventerrein Nijverheidslaan,1
SC01,Bedrijventerrein-Noord Weesp,4
SC02,Hogewey-Noord,9
SC03,Hogewey-Midden,1
SC04,Hogewey-Zuid,4
SC05,Weesp Dichtersbuurt,2
SC06,Weesp Schildersbuurt,1
SD01,Herensingelkwartier,5
SD02,Bedrijventerrein Van Houten,2
SD03,Weesp Centrum,4
SD04,Weesp-Zuid I,5
SD05,Weesp-Zuid II,3
SD06,De Klomp,9
SE01,Aetsveldsepolder,2
SE02,Aetsveld-Zuid,2
SE03,Aetsveld-Noord,5
SE04,Oostelijke Vechtoever,4
AA01,Planciusbuurt-Noord,3
BA01,Afrikahaven,2
BA02,Amerikahaven,9
BA03,Westhaven-Noord,9
BB04,Minervahaven-Noordwest,1
EG02,GWL-terrein,1
BA04,Petroleumhaven,9
BA05,Vervoerscentrum,5
BA06,Westhaven-Zuid,3
BB01,Coenhaven,5
BB02,Vlothaven,1
BB05,Minervahaven-Zuidwest,2
BB06,Minervahaven-Zuidoost,1
BB07,Alfa-driehoek,2
BB08,Hemknoop-Noord,5
TA05,Amstel III deel A/B-Zuid,9
FB04,Eendrachtspark,5
FA01,Sloterdijk De Heining,9
FA02,Sloterdijk Poort-Noord,1
FA03,Sloterdijk Poort-Zuid,1
FA04,Sloterdijk Rhônepark,3
FA05,Sloterdijk Donauhoek,5
TD04,Huntum,1
FA06,Bretten-West,9
FA07,Bretten-Oost,1
FA08,Sloterdijk Stationskwartier,1
TM04,Gein 4,2
FB01,Osdorper Binnenpolder,2
FB02,De Eendracht,1
FB03,Ruys de Beerenbrouckbuurt,2
FB05,Van Tijenbuurt,9
FB06,Dudokbuurt,1
FB07,Bakemabuurt,3
FB08,Wegener Sleeswijkbuurt,4
FC01,Jan de Louterbuurt,4
FC02,Lodewijk van Deysselbuurt,1
FC03,Confuciusbuurt,3
FD01,Arondeusbuurt,2
FD02,Coronelbuurt,1
FD03,Meerwaldtbuurt,9
FD04,Dobbebuurt,4
FE01,Dichtersbuurt,3
FE02,Louis Couperusbuurt,4
FE03,Noordoever Sloterplas,4
TA01,Hoofdcentrum-Zuidoost,4
TA02,Amstel III deel C/D-Noord,2
TA03,Amstel III deel A/B-Noord,3
TA04,Amstel III deel C/D-Zuid,4
TA06,AMC,9
TA07,Hoge Dijk,4
TB01,Venserpolder-West,1
TB02,Venserpolder-Oost,9
TC01,D-buurt,2
TC02,F-buurt,3
FE04,Sloterpark,9
TC03,Amsterdamse Poort,3
TC04,Vogeltjeswei,2
TC05,Nelson Mandelapark,1
TD01,Hoptille,4
TD02,Rechte H-buurt,1
TD03,Hakfort/Huigenbos,2
TE01,E-buurt,2
TE02,G-buurt-West,9
TE03,G-buurt-Noord,5
TF01,G-buurt-Oost,2
TF02,Grunder/Koningshoef,9
TF03,Kantershof,3
TG01,Bijlmermuseum-Noord,1
TG02,Bijlmermuseum-Zuid,5
TG03,De Kameleon e.o.,9
TH01,Gooise Kant,9
TH02,Kortvoort,3
TH03,Kelbergen,1
TH04,K-buurt-Zuidwest,2
TH05,K-buurt-Zuidoost,2
TJ01,Holendrecht-West,5
TJ02,Holendrecht-Oost,1
TJ03,Holendrecht-Zuid,4
TK01,L-buurt,4
TK02,Gaasperpark,1
TK03,Gaasperplas,4
TL01,Reigersbos 1,4
TL02,Reigersbos 2,1
TL03,Reigersbos 3,3
TL04,Reigersbos 4,9
TM01,Gein 1,9
TM02,Gein 2,9
TM03,Gein 3,9
FF01,Osdorper Bovenpolder,3
FF02,Ookmeer,5
FF03,Bedrijvenpark Lutkemeer,2
FG01,Middelveldsche Akerpolder,3
FG02,De Aker-West,9
FG03,De Aker-Oost,1
FH01,Bedrijvencentrum Osdorp,2
FH02,Dijkgraafpleinbuurt,4
FJ01,Reimerswaal,5
FJ02,Botteskerkbuurt,5
FJ03,Zuidwestkwadrant-Noord,1
FJ04,Zuidwestkwadrant-Zuid,5
FK01,Wildeman,4
FK02,Meer en Oever,4
FK03,Osdorpplein e.o.,2
FK04,Calandlaan/Lelylaan,9
FN04,Staalmanbuurt,9
FK05,Osdorp-Zuidoost,3
FL01,Oostoever Sloterplas,2
FL02,Emanuel van Meterenbuurt,5
FL03,Jacob Geelbuurt,2
FM01,Lucas/Andreasziekenhuis e.o.,9
FM02,Overtoomse Veld-Noord,5
FM03,Rembrandtpark-Noord,1
FM04,Overtoomse Veld-Zuid,1
FM05,Rembrandtpark-Zuid,3
FM06,Johan Jongkindbuurt,1
FN01,Louis Crispijnbuurt,2
FN02,Jacques Veldmanbuurt,4
FN03,Medisch Centrum Slotervaart,2
FP02,Koningin Wilhelminaplein,2
FP03,Andreasterrein,1
FP04,Delflandpleinbuurt-West,2
FP05,Delflandpleinbuurt-Oost,3
FP06,Riekerhaven,3
FQ01,Dorp Sloten,9
FQ02,Nieuw-Sloten-Noordwest,3
FQ03,Nieuw-Sloten-Noordoost,5
FQ04,Nieuw-Sloten-Zuidwest,5
FQ05,Belgiëplein e.o.,1
FQ06,Nieuw-Sloten-Zuidoost,4
FQ07,Sloterweg e.o.,9
FQ08,Park Haagseweg,5
FQ09,Riekerpolder,3
FQ10,Nieuwe Meer,5
MK02,Pampusbuurt-West,9
AA02,Westelijke eilanden,2
AB03,Anjeliersbuurt-Noord,5
KA01,Westlandgrachtbuurt,4
KA02,Surinamepleinbuurt,2
KA03,Legmeerpleinbuurt,3
KA04,Aalsmeerwegbuurt-West,4
KA05,Aalsmeerwegbuurt-Oost,3
KA06,Bedrijventerrein Schinkel,1
KB01,Schinkelbuurt-Noord,3
KB02,Schinkelbuurt-Zuid,1
KC01,Vondelpark-West,4
KC02,Willemsparkbuurt-Noord,4
KC03,Valeriusbuurt-West,2
KC04,Valeriusbuurt-Oost,1
KD01,Vondelpark-Oost,2
KD02,Cornelis Schuytbuurt,2
KD03,Concertgebouwbuurt,1
KD04,P.C. Hooftbuurt,9
KD05,Museumplein,5
KD06,Banpleinbuurt,4
KD07,Hondecoeterbuurt,5
KD08,Johannes Vermeerbuurt,3
KD09,Duivelseiland,3
KD10,Harmoniehofbuurt,3
KE01,Frans Halsbuurt,1
KE02,Gerard Doubuurt,4
KE03,Hercules Seghersbuurt,3
KE04,Sarphatiparkbuurt,2
KE05,Hemonybuurt,3
KF01,Cornelis Troostbuurt,4
KF02,Lizzy Ansinghbuurt,4
KF03,Van der Helstpleinbuurt,3
KF04,Willibrordusbuurt,3
KG01,BurgemeesterTellegenbuurt-West,3
KG02,Burgemeester Tellegenbuurt-Oost,9
KG03,Diamantbuurt,5
KH01,Bertelmanpleinbuurt,4
KH02,Olympisch Stadion e.o.,2
KH03,Marathonbuurt-West,4
KH04,Marathonbuurt-Oost,4
KH05,Van Tuyllbuurt,4
KH06,IJsbaanpad e.o.,2
KJ01,Hiltonbuurt,1
KJ02,Minervabuurt-Noord,4
KJ03,Minervabuurt-Midden,1
KJ04,Minervabuurt-Zuid,5
KJ05,Beethovenbuurt,3
KJ06,Diepenbrockbuurt,5
KK01,Wielingenbuurt,4
KK02,Scheldebuurt-West,5
KK03,Scheldebuurt-Midden,5
KK04,Scheldebuurt-Oost,9
KK05,Veluwebuurt,3
KK06,Kop Zuidas,3
KL01,IJselbuurt-West,5
KL02,IJselbuurt-Oost,1
KM01,Kromme Mijdrechtbuurt,4
KM02,Rijnbuurt-West,3
KM03,Rijnbuurt-Midden,4
KM04,Rijnbuurt-Oost,9
KM05,Zorgvlied,2
KN01,Prinses Irenebuurt,1
KN02,Beatrixpark,9
KP01,Zuidas-Noord,2
KP02,RAI,3
KP03,VU-kwartier,5
KP04,Zuidas-Zuid,9
KP05,Vivaldi,3
KQ01,Amsterdamse Bos,2
KQ02,Zuiderhof,9
KQ03,Buitenveldert-West-Midden,3
KQ04,Gelderlandpleinbuurt,9
KQ05,Buitenveldert-Zuidwest,9
KQ06,Buitenveldert-Zuid-Midden,3
KR01,De Klenckebuurt,9
KR02,Buitenveldert-Oost-Midden,3
KR03,Buitenveldert-Zuidoost,9
KR04,Amstelpark,1
AB04,Zaagpoortbuurt,3
FP01,Schipluidenbuurt,9
EK02,Orteliusbuurt-Noord,1
AA03,Westerdokseiland,2
AA04,Planciusbuurt-Zuid,5
AA05,Haarlemmerbuurt-West,2
EK03,Jan Maijenbuurt,4
AA06,Haarlemmerbuurt-Oost,4
AB01,Marnixbuurt-Noord,4
AB02,Driehoekbuurt,9
AB05,Anjeliersbuurt-Zuid,1
AB06,Marnixbuurt-Midden,3
AB07,Bloemgrachtbuurt,2
AB08,Groenmarktkadebuurt,3
AB09,Marnixbuurt-Zuid,4
